person_age,person_income,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_status
61,87652,7.0,HOMEIMPROVEMENT,A,24084,8.32,0.2748,N,44,0
29,71395,9.0,MEDICAL,A,17538,6.39,0.2456,N,6,0
38,29696,4.0,EDUCATION,C,38734,11.75,1.3044,N,20,0
44,127043,8.0,PERSONAL,C,26895,11.88,0.2117,N,27,0
46,65838,7.0,EDUCATION,F,19071,21.8,0.2897,N,28,0
20,39647,3.0,VENTURE,A,29556,7.66,0.7455,Y,1,1
49,33943,4.0,PERSONAL,C,9074,12.37,0.2673,N,30,0
26,56456,4.0,DEBTCONSOLIDATION,A,6720,5.76,0.119,N,9,0
60,19553,3.0,EDUCATION,C,19658,14.17,1.0054,Y,38,1
56,72028,3.0,PERSONAL,A,9168,8.11,0.1273,N,35,0
70,29014,3.0,DEBTCONSOLIDATION,B,18869,8.63,0.6503,N,45,1
60,60104,4.0,PERSONAL,B,5770,10.44,0.096,N,43,0
38,36794,4.0,PERSONAL,E,6241,18.84,0.1696,N,17,0
73,42385,5.0,PERSONAL,A,3564,5.98,0.0841,N,45,0
41,32328,4.0,MEDICAL,D,4544,15.74,0.1406,N,24,0
36,44860,7.0,EDUCATION,C,12587,13.27,0.2806,N,18,0
69,138573,7.0,HOMEIMPROVEMENT,B,3689,11.11,0.0266,Y,45,1
39,105007,2.0,MEDICAL,C,4950,13.18,0.0471,N,19,0
22,59573,5.0,EDUCATION,B,5650,11.02,0.0948,N,1,0
44,48343,4.0,MEDICAL,C,7439,11.97,0.1539,N,24,0
63,77988,9.0,DEBTCONSOLIDATION,A,10525,6.01,0.135,N,44,0
28,91261,6.0,HOMEIMPROVEMENT,D,39032,17.01,0.4277,N,7,1
44,31057,5.0,PERSONAL,B,17258,9.57,0.5557,N,25,0
25,46976,4.0,DEBTCONSOLIDATION,F,6551,21.77,0.1395,N,3,0
57,17996,5.0,EDUCATION,B,10051,11.06,0.5585,N,40,0
45,90917,3.0,EDUCATION,E,6791,17.57,0.0747,N,28,0
36,152628,5.0,MEDICAL,A,18387,7.38,0.1205,Y,17,0
30,51228,6.0,HOMEIMPROVEMENT,B,14672,9.61,0.2864,N,10,0
50,15233,3.0,MEDICAL,D,6770,15.32,0.4444,Y,30,1
56,68520,6.0,VENTURE,D,12961,17.4,0.1892,N,38,0
71,29814,4.0,PERSONAL,B,13598,10.21,0.4561,N,45,0
42,34035,9.0,EDUCATION,A,10281,8.11,0.3021,N,22,0
27,69190,6.0,DEBTCONSOLIDATION,B,13018,9.96,0.1881,N,4,0
65,56387,5.0,MEDICAL,D,14830,16.93,0.263,N,45,0
53,37479,5.0,HOMEIMPROVEMENT,B,43961,9.26,1.173,N,32,0
57,34293,6.0,PERSONAL,C,22895,12.68,0.6676,Y,38,1
23,52533,6.0,PERSONAL,B,5048,9.58,0.0961,Y,5,1
35,39135,1.0,PERSONAL,A,11799,6.23,0.3015,N,16,0
61,26633,4.0,VENTURE,C,43906,13.06,1.6486,N,40,0
65,40826,4.0,PERSONAL,B,12775,8.55,0.3129,N,42,0
42,59087,3.0,VENTURE,B,36001,10.33,0.6093,N,20,0
63,44446,4.0,EDUCATION,E,50000,17.9,1.125,N,45,1
65,22529,8.0,PERSONAL,A,5165,5.89,0.2293,N,45,0
40,84455,3.0,VENTURE,B,9426,10.22,0.1116,Y,23,0
69,12000,8.0,MEDICAL,A,10416,8.31,0.868,N,45,0
34,38349,3.0,DEBTCONSOLIDATION,A,3972,7.8,0.1036,N,14,0
31,34852,5.0,HOMEIMPROVEMENT,B,26197,9.34,0.7517,N,12,0
56,53183,3.0,EDUCATION,A,12595,8.47,0.2368,N,33,0
54,66763,7.0,PERSONAL,B,3112,8.66,0.0466,N,31,0
25,91100,4.0,VENTURE,D,12408,14.57,0.1362,N,3,0
65,33129,8.0,EDUCATION,A,5701,5.68,0.1721,N,45,0
29,67685,6.0,PERSONAL,C,9740,12.59,0.1439,N,10,0
63,54595,6.0,MEDICAL,B,1729,11.12,0.0317,N,45,0
18,19123,7.0,VENTURE,B,8693,11.02,0.4546,N,1,1
63,139427,4.0,EDUCATION,B,17846,10.13,0.128,N,45,0
62,22218,9.0,HOMEIMPROVEMENT,B,7369,9.77,0.3317,Y,45,0
62,61742,6.0,PERSONAL,A,2853,5.27,0.0462,N,42,0
55,60747,5.0,HOMEIMPROVEMENT,D,9504,15.27,0.1565,N,32,0
44,57045,4.0,PERSONAL,A,8593,6.81,0.1506,N,26,0
58,37346,6.0,VENTURE,C,29673,12.02,0.7945,N,40,1
33,77264,6.0,MEDICAL,C,13482,13.42,0.1745,N,12,0
62,20781,4.0,PERSONAL,A,8421,7.84,0.4052,N,44,0
49,47277,2.0,PERSONAL,A,4266,5.45,0.0902,N,30,0
44,35949,7.0,HOMEIMPROVEMENT,E,9591,19.49,0.2668,N,27,0
46,33775,3.0,DEBTCONSOLIDATION,A,38395,6.52,1.1368,N,25,1
50,62057,2.0,EDUCATION,B,12913,9.96,0.2081,N,31,0
20,88664,6.0,VENTURE,A,15679,5.26,0.1768,N,1,0
25,40587,3.0,HOMEIMPROVEMENT,B,1751,10.51,0.0431,N,8,0
31,75310,4.0,PERSONAL,A,18805,7.31,0.2497,Y,11,0
24,50380,6.0,MEDICAL,E,10568,18.6,0.2098,N,1,0
43,30001,7.0,MEDICAL,B,10059,9.79,0.3353,N,21,0
56,42536,3.0,PERSONAL,D,11171,17.07,0.2626,N,37,0
55,41576,7.0,EDUCATION,B,11392,9.78,0.274,N,34,0
44,33417,3.0,DEBTCONSOLIDATION,B,8260,11.42,0.2472,Y,24,1
66,62048,2.0,VENTURE,C,6999,14.29,0.1128,N,45,0
50,55773,4.0,VENTURE,C,3706,14.37,0.0664,Y,32,0
22,20437,6.0,VENTURE,D,7641,14.52,0.3739,N,4,0
61,19764,5.0,EDUCATION,B,21556,11.12,1.0907,N,43,0
50,61918,6.0,HOMEIMPROVEMENT,B,6695,10.22,0.1081,N,32,0
54,31306,5.0,HOMEIMPROVEMENT,D,17283,14.68,0.5521,N,37,1
50,57879,15.0,MEDICAL,B,4675,10.26,0.0808,N,30,0
49,75320,4.0,PERSONAL,A,3834,7.73,0.0509,Y,29,1
23,24366,4.0,PERSONAL,A,7328,6.59,0.3007,N,1,0
49,22553,8.0,HOMEIMPROVEMENT,B,18910,10.84,0.8385,N,30,0
63,123122,9.0,VENTURE,A,3537,7.96,0.0287,N,45,0
35,59478,6.0,MEDICAL,A,34275,6.58,0.5763,Y,15,1
52,38925,1.0,PERSONAL,A,44192,6.94,1.1353,Y,29,1
19,29329,5.0,HOMEIMPROVEMENT,A,16240,7.6,0.5537,Y,1,1
37,37021,2.0,EDUCATION,E,6799,17.5,0.1837,N,14,0
42,25468,7.0,HOMEIMPROVEMENT,C,7099,13.94,0.2787,N,19,0
74,79688,5.0,VENTURE,B,6112,8.8,0.0767,N,45,0
30,31977,4.0,DEBTCONSOLIDATION,D,6106,16.55,0.1909,N,7,0
33,89450,6.0,PERSONAL,C,8494,12.37,0.095,N,14,0
41,39326,8.0,VENTURE,A,2753,8.34,0.07,N,22,0
74,27616,7.0,HOMEIMPROVEMENT,C,12637,14.45,0.4576,N,45,0
66,38775,6.0,EDUCATION,E,4481,18.05,0.1156,N,45,0
19,12000,3.0,HOMEIMPROVEMENT,A,5418,7.05,0.4515,Y,1,1
31,45870,6.0,EDUCATION,F,5809,21.09,0.1266,N,11,0
64,44642,5.0,VENTURE,B,12749,11.36,0.2856,N,45,0
21,77157,2.0,VENTURE,B,21456,11.41,0.2781,N,1,0
66,17370,3.0,DEBTCONSOLIDATION,A,4860,6.58,0.2798,Y,45,1
34,92876,7.0,DEBTCONSOLIDATION,A,22987,6.16,0.2475,N,17,0
70,76982,3.0,DEBTCONSOLIDATION,B,4505,10.39,0.0585,N,45,0
34,97599,6.0,VENTURE,E,5944,20.21,0.0609,N,13,0
42,47619,5.0,MEDICAL,C,18541,14.3,0.3894,N,24,0
55,85617,5.0,VENTURE,E,3092,18.97,0.0361,N,38,0
25,21825,5.0,HOMEIMPROVEMENT,C,6725,12.71,0.3081,N,4,0
49,72560,5.0,HOMEIMPROVEMENT,D,5168,16.02,0.0712,N,31,0
46,32075,3.0,EDUCATION,A,7181,5.71,0.2239,N,27,0
62,19766,8.0,VENTURE,D,6121,14.54,0.3097,N,39,0
74,26415,3.0,PERSONAL,D,2925,17.11,0.1107,N,45,0
55,49170,7.0,PERSONAL,C,15140,12.83,0.3079,Y,33,0
41,31152,8.0,HOMEIMPROVEMENT,C,12613,13.57,0.4049,N,18,1
41,60285,4.0,MEDICAL,D,18516,16.83,0.3071,N,19,0
41,18132,7.0,MEDICAL,A,7435,6.38,0.41,Y,18,1
64,15215,3.0,EDUCATION,A,9267,6.35,0.6091,N,41,0
36,104277,5.0,EDUCATION,E,18487,20.93,0.1773,N,13,0
27,80586,3.0,MEDICAL,B,11578,10.95,0.1437,N,8,0
37,27526,5.0,PERSONAL,A,18658,7.63,0.6778,N,19,0
19,48939,8.0,VENTURE,C,17736,11.92,0.3624,N,1,0
24,85881,3.0,MEDICAL,B,10210,9.22,0.1189,N,7,0
23,61732,6.0,VENTURE,D,10579,17.37,0.1714,N,2,1
61,53184,4.0,PERSONAL,C,9438,12.83,0.1775,Y,42,1
59,89530,5.0,EDUCATION,F,10588,21.17,0.1183,N,38,0
57,32797,4.0,EDUCATION,C,6750,14.01,0.2058,N,38,0
44,49868,7.0,MEDICAL,C,12562,11.61,0.2519,N,26,0
58,48541,10.0,DEBTCONSOLIDATION,B,11255,9.6,0.2319,N,40,0
27,42191,5.0,VENTURE,A,6488,6.29,0.1538,N,10,0
69,39561,4.0,HOMEIMPROVEMENT,A,12974,6.1,0.3279,N,45,0
46,51025,6.0,HOMEIMPROVEMENT,C,23458,13.79,0.4597,N,27,1
71,49957,5.0,PERSONAL,D,9954,14.95,0.1993,N,45,0
26,27539,1.0,MEDICAL,A,10389,5.53,0.3772,N,3,0
46,76190,4.0,HOMEIMPROVEMENT,C,11259,12.86,0.1478,N,27,0
57,28652,2.0,MEDICAL,B,2607,11.38,0.091,N,36,0
46,43476,7.0,DEBTCONSOLIDATION,C,7670,11.67,0.1764,Y,29,1
43,41672,4.0,MEDICAL,D,50000,16.93,1.1998,N,24,1
27,59692,5.0,MEDICAL,B,10197,11.39,0.1708,N,8,0
39,15282,6.0,PERSONAL,C,5280,11.53,0.3455,N,20,0
31,80017,5.0,PERSONAL,B,9636,9.17,0.1204,N,13,0
35,33781,6.0,PERSONAL,B,6668,8.67,0.1974,N,14,0
56,95892,4.0,PERSONAL,C,11141,13.14,0.1162,N,39,0
53,37684,8.0,VENTURE,A,11251,8.34,0.2986,N,30,0
52,47721,4.0,PERSONAL,A,9471,7.93,0.1985,N,29,0
38,140446,8.0,PERSONAL,C,18476,13.33,0.1316,N,19,0
72,42085,6.0,VENTURE,D,4240,17.33,0.1007,N,45,0
22,96893,2.0,HOMEIMPROVEMENT,C,12472,12.89,0.1287,N,3,0
37,50084,7.0,PERSONAL,A,20557,8.44,0.4105,N,18,1
24,61603,6.0,MEDICAL,B,8153,9.11,0.1323,N,1,0
37,50943,3.0,PERSONAL,B,17473,10.9,0.343,N,14,0
72,78144,5.0,DEBTCONSOLIDATION,E,8431,17.75,0.1079,N,45,0
38,33622,7.0,EDUCATION,C,4610,11.51,0.1371,N,17,0
69,28531,5.0,VENTURE,B,2613,9.99,0.0916,N,45,0
46,34502,6.0,MEDICAL,B,6708,10.87,0.1944,N,28,0
57,51784,10.0,HOMEIMPROVEMENT,B,7934,8.64,0.1532,Y,36,0
44,43414,4.0,MEDICAL,A,45939,7.78,1.0582,N,24,0
33,72449,5.0,DEBTCONSOLIDATION,C,10219,14.3,0.1411,N,11,0
61,100468,4.0,EDUCATION,B,6669,8.62,0.0664,N,43,0
73,28660,6.0,HOMEIMPROVEMENT,A,14352,5.28,0.5008,N,45,0
33,32739,4.0,PERSONAL,B,7533,10.96,0.2301,N,16,0
62,22249,8.0,PERSONAL,D,20397,14.97,0.9168,N,40,1
32,149747,3.0,MEDICAL,A,29130,5.56,0.1945,Y,13,0
58,57963,1.0,EDUCATION,D,11080,16.08,0.1912,N,40,0
62,63824,5.0,PERSONAL,B,2845,10.32,0.0446,Y,39,1
43,23456,6.0,EDUCATION,A,9225,6.01,0.3933,N,26,0
60,48989,6.0,EDUCATION,E,8839,19.37,0.1804,N,40,0
33,64866,6.0,VENTURE,A,31118,5.6,0.4797,N,13,0
22,42658,2.0,PERSONAL,A,13530,5.09,0.3172,N,2,0
23,88577,5.0,DEBTCONSOLIDATION,B,7526,8.72,0.085,N,2,0
43,174819,3.0,EDUCATION,A,26335,6.42,0.1506,Y,22,0
69,29118,6.0,DEBTCONSOLIDATION,A,9112,5.64,0.3129,N,45,0
25,27941,2.0,MEDICAL,C,9052,13.41,0.324,N,3,0
43,30249,5.0,HOMEIMPROVEMENT,A,6972,6.91,0.2305,N,25,0
58,118587,8.0,VENTURE,E,22293,19.61,0.188,N,38,0
29,86967,5.0,EDUCATION,D,6795,14.83,0.0781,N,9,0
59,45499,2.0,MEDICAL,D,15597,17.24,0.3428,N,41,0
35,50016,4.0,EDUCATION,C,13100,14.09,0.2619,N,15,0
64,31285,5.0,DEBTCONSOLIDATION,B,10383,9.6,0.3319,N,41,0
51,79978,9.0,DEBTCONSOLIDATION,C,18746,12.81,0.2344,N,29,0
49,39777,4.0,EDUCATION,C,29117,12.84,0.732,N,32,0
28,42487,1.0,EDUCATION,D,4179,15.79,0.0984,N,7,0
44,68516,1.0,EDUCATION,A,8830,6.44,0.1289,N,26,0
66,44205,6.0,EDUCATION,A,8346,6.75,0.1888,N,44,0
19,43078,6.0,PERSONAL,C,10662,13.37,0.2475,N,1,0
61,49306,6.0,VENTURE,A,6596,6.58,0.1338,N,40,0
46,75920,5.0,HOMEIMPROVEMENT,F,4820,22.0,0.0635,Y,23,1
59,121245,6.0,EDUCATION,A,9174,7.11,0.0757,Y,41,0
55,67644,6.0,MEDICAL,C,20171,12.45,0.2982,N,33,0
42,76253,7.0,PERSONAL,D,8590,14.78,0.1127,N,20,0
35,43918,7.0,VENTURE,B,13238,9.71,0.3014,N,12,0
53,33213,5.0,EDUCATION,C,28904,13.28,0.8703,Y,35,1
25,70241,4.0,PERSONAL,E,11118,18.41,0.1583,N,4,0
51,53862,4.0,PERSONAL,E,19795,20.94,0.3675,N,30,0
23,22416,5.0,MEDICAL,A,21126,8.12,0.9425,N,4,0
55,40927,3.0,VENTURE,A,23601,5.88,0.5767,N,37,1
53,46835,5.0,EDUCATION,B,42493,11.22,0.9073,N,33,0
22,37021,7.0,PERSONAL,A,9052,5.78,0.2445,N,2,0
61,110741,13.0,VENTURE,A,18756,7.9,0.1694,N,43,0
41,63825,5.0,MEDICAL,B,11524,9.13,0.1806,N,22,0
62,104322,6.0,EDUCATION,A,14030,6.21,0.1345,N,41,0
20,56663,5.0,HOMEIMPROVEMENT,A,13199,7.78,0.2329,N,1,0
28,51264,5.0,MEDICAL,E,22827,19.34,0.4453,N,5,1
46,29286,9.0,HOMEIMPROVEMENT,C,6938,11.99,0.2369,N,26,0
28,49343,2.0,DEBTCONSOLIDATION,B,13030,11.23,0.2641,Y,7,0
36,49374,4.0,VENTURE,A,4065,6.72,0.0823,N,17,0
55,23111,7.0,EDUCATION,B,5663,10.21,0.245,N,36,0
26,36434,6.0,VENTURE,C,6608,14.02,0.1814,N,4,0
56,41035,4.0,MEDICAL,A,14979,6.37,0.365,N,38,0
23,61538,11.0,PERSONAL,C,13272,12.38,0.2157,N,1,0
27,63179,4.0,PERSONAL,B,26373,11.37,0.4174,N,5,0
51,35606,2.0,PERSONAL,C,19750,11.72,0.5547,N,32,1
63,63441,7.0,MEDICAL,B,9791,10.17,0.1543,N,43,0
27,44349,6.0,MEDICAL,B,50000,9.69,1.1274,N,5,1
35,12000,4.0,DEBTCONSOLIDATION,A,11298,5.95,0.9415,Y,12,1
70,37549,4.0,VENTURE,A,3717,5.28,0.099,N,45,0
74,88738,5.0,EDUCATION,B,4081,11.09,0.046,N,45,0
51,19438,4.0,HOMEIMPROVEMENT,B,16126,10.68,0.8296,Y,30,1
43,52155,4.0,DEBTCONSOLIDATION,D,3313,15.98,0.0635,N,25,0
37,117230,7.0,EDUCATION,A,11242,7.9,0.0959,N,20,0
52,32262,3.0,DEBTCONSOLIDATION,C,7827,12.89,0.2426,Y,34,1
51,49078,3.0,HOMEIMPROVEMENT,B,37642,11.41,0.767,Y,29,1
34,23927,5.0,EDUCATION,A,4371,5.52,0.1827,N,13,0
19,119967,3.0,PERSONAL,A,19864,8.35,0.1656,N,1,0
26,46824,6.0,VENTURE,B,7755,11.28,0.1656,N,8,0
72,50294,6.0,DEBTCONSOLIDATION,C,7275,14.29,0.1446,N,45,0
41,103245,7.0,PERSONAL,D,28754,14.8,0.2785,N,22,0
45,70531,1.0,DEBTCONSOLIDATION,A,6899,6.19,0.0978,N,22,0
44,30284,5.0,PERSONAL,D,5274,16.82,0.1742,Y,25,1
62,34337,4.0,MEDICAL,A,7123,6.79,0.2074,N,43,0
21,64357,5.0,MEDICAL,C,4885,13.92,0.0759,N,4,0
22,34777,6.0,EDUCATION,A,3389,6.82,0.0974,Y,4,1
33,15298,11.0,PERSONAL,C,5730,12.04,0.3746,Y,13,1
45,47606,4.0,PERSONAL,A,3203,5.8,0.0673,Y,25,0
56,21717,8.0,EDUCATION,B,5406,11.19,0.2489,N,35,0
45,119247,6.0,PERSONAL,C,5311,12.63,0.0445,N,23,0
43,54026,5.0,VENTURE,B,11780,9.88,0.218,N,24,0
71,29796,2.0,MEDICAL,A,4002,7.82,0.1343,N,45,0
27,33381,5.0,EDUCATION,C,15000,14.06,0.4494,N,7,1
50,17341,4.0,EDUCATION,C,2184,12.5,0.1259,N,32,0
48,26776,5.0,VENTURE,C,5165,11.91,0.1929,N,26,0
44,85731,5.0,DEBTCONSOLIDATION,D,8512,14.83,0.0993,Y,21,1
64,167289,3.0,VENTURE,A,7457,8.11,0.0446,N,43,0
33,73095,5.0,EDUCATION,C,10289,13.15,0.1408,N,12,0
72,46600,3.0,PERSONAL,B,3858,9.64,0.0828,N,45,0
36,38654,2.0,HOMEIMPROVEMENT,A,37423,6.42,0.9682,N,15,0
49,28967,2.0,MEDICAL,C,30754,13.64,1.0617,N,26,0
47,152187,5.0,PERSONAL,B,1607,9.3,0.0106,N,29,0
66,44187,4.0,HOMEIMPROVEMENT,E,15088,19.83,0.3415,N,45,0
43,156936,4.0,EDUCATION,A,7727,6.51,0.0492,N,24,0
34,105496,5.0,EDUCATION,A,9068,6.3,0.086,N,11,0
19,18817,5.0,VENTURE,B,9201,10.13,0.489,N,2,0
38,33986,9.0,PERSONAL,D,5652,16.55,0.1663,Y,21,1
65,33928,2.0,EDUCATION,B,9105,10.01,0.2684,N,43,0
18,46914,3.0,VENTURE,B,28732,10.69,0.6124,N,1,0
69,47421,3.0,EDUCATION,C,35338,12.52,0.7452,N,45,0
48,254722,8.0,PERSONAL,B,9082,9.27,0.0357,N,30,0
25,27106,4.0,PERSONAL,C,3162,13.1,0.1167,Y,4,1
35,55599,7.0,MEDICAL,C,8242,12.57,0.1482,N,15,0
49,68808,6.0,DEBTCONSOLIDATION,F,7935,24.63,0.1153,N,27,0
35,48978,1.0,MEDICAL,A,26954,7.21,0.5503,N,13,1
24,52083,4.0,DEBTCONSOLIDATION,C,4232,12.82,0.0813,N,3,0
55,27594,4.0,DEBTCONSOLIDATION,C,2635,14.04,0.0955,N,36,0
56,51977,8.0,DEBTCONSOLIDATION,A,5997,8.31,0.1154,N,38,0
24,64943,4.0,MEDICAL,E,15567,19.06,0.2397,Y,1,1
34,58699,5.0,MEDICAL,D,5083,16.42,0.0866,Y,17,1
31,67077,3.0,VENTURE,A,8220,6.21,0.1225,N,8,0
55,106610,6.0,PERSONAL,F,16494,22.93,0.1547,N,35,0
59,82070,3.0,PERSONAL,A,3323,6.92,0.0405,N,41,0
59,50981,10.0,DEBTCONSOLIDATION,A,9065,5.98,0.1778,N,39,0
71,25733,5.0,MEDICAL,A,11552,7.83,0.4489,N,45,0
61,35242,5.0,HOMEIMPROVEMENT,A,15316,5.6,0.4346,Y,42,1
36,43442,5.0,PERSONAL,A,7297,7.94,0.168,N,13,0
24,56319,4.0,EDUCATION,E,28665,17.97,0.509,N,7,0
53,37681,4.0,PERSONAL,D,6916,17.03,0.1835,N,31,1
70,29300,4.0,HOMEIMPROVEMENT,C,17176,14.14,0.5862,N,45,1
73,25501,4.0,EDUCATION,B,21420,9.47,0.84,N,45,1
31,19768,5.0,HOMEIMPROVEMENT,C,1636,13.99,0.0828,N,11,0
31,43078,8.0,HOMEIMPROVEMENT,B,28692,9.15,0.666,N,14,0
20,21844,5.0,PERSONAL,E,4555,19.07,0.2085,N,1,0
26,28274,7.0,EDUCATION,A,7184,7.07,0.2541,Y,7,1
49,39472,7.0,MEDICAL,A,20962,8.47,0.5311,N,31,0
49,23511,1.0,HOMEIMPROVEMENT,B,7193,9.68,0.3059,N,28,0
39,60407,5.0,HOMEIMPROVEMENT,D,9194,15.03,0.1522,Y,22,1
35,73653,6.0,MEDICAL,C,18647,14.3,0.2532,N,12,0
65,36236,7.0,VENTURE,B,10983,9.49,0.3031,N,45,0
44,38547,4.0,DEBTCONSOLIDATION,A,4825,7.81,0.1252,Y,27,1
64,65879,3.0,EDUCATION,C,22492,14.4,0.3414,N,43,0
72,33100,6.0,PERSONAL,C,12429,14.08,0.3755,N,45,0
36,31872,2.0,PERSONAL,A,3267,5.8,0.1025,N,18,0
29,94662,2.0,EDUCATION,D,8985,14.57,0.0949,N,9,0
72,79722,7.0,PERSONAL,C,12354,14.25,0.155,N,45,0
54,68244,2.0,DEBTCONSOLIDATION,B,7374,11.28,0.1081,Y,33,0
34,81560,4.0,MEDICAL,A,3117,5.9,0.0382,N,12,0
53,16522,6.0,HOMEIMPROVEMENT,B,3703,10.45,0.2241,N,33,0
47,103219,9.0,DEBTCONSOLIDATION,C,6107,11.69,0.0592,N,26,0
69,60817,3.0,EDUCATION,E,12554,19.53,0.2064,Y,45,1
32,85470,6.0,HOMEIMPROVEMENT,A,22018,7.52,0.2576,N,9,0
74,60653,2.0,HOMEIMPROVEMENT,D,3648,15.32,0.0601,N,45,0
71,50357,3.0,EDUCATION,B,6483,9.07,0.1287,Y,45,0
28,42132,7.0,PERSONAL,A,2241,6.32,0.0532,N,6,0
27,59989,1.0,PERSONAL,D,9502,17.4,0.1584,N,8,0
48,41296,4.0,HOMEIMPROVEMENT,C,28000,11.72,0.678,N,29,0
20,79010,4.0,DEBTCONSOLIDATION,A,19923,5.95,0.2522,N,1,0
35,20485,6.0,EDUCATION,C,8043,11.52,0.3926,N,14,0
42,36393,3.0,MEDICAL,C,7693,12.99,0.2114,N,23,0
73,150942,3.0,PERSONAL,B,7541,11.36,0.05,N,45,0
74,34740,9.0,HOMEIMPROVEMENT,A,7877,8.2,0.2267,Y,45,1
26,42990,5.0,PERSONAL,E,9878,19.71,0.2298,N,7,0
68,30169,7.0,PERSONAL,E,7525,17.53,0.2494,Y,45,1
23,58965,2.0,DEBTCONSOLIDATION,E,9649,17.75,0.1636,N,5,0
60,32697,6.0,EDUCATION,C,4403,12.41,0.1347,N,37,0
66,44263,8.0,MEDICAL,A,13269,7.78,0.2998,N,45,0
68,78188,4.0,MEDICAL,C,14968,12.97,0.1914,N,45,0
30,33378,4.0,PERSONAL,D,50000,16.43,1.498,N,8,1
68,75639,4.0,VENTURE,F,13737,24.4,0.1816,N,45,0
24,77051,3.0,DEBTCONSOLIDATION,C,8725,11.69,0.1132,N,7,0
47,87572,5.0,MEDICAL,B,29917,9.65,0.3416,N,28,0
